dataset,T2,ratio,div,recall
cora,20,0.1,0.1797752808988764,0.9809523809523808
cora,20,0.125,0.1801801801801801,0.9847328244274808
cora,20,0.15,0.18796992481203006,0.981012658227848
cora,20,0.175,0.1870967741935484,0.9836956521739132
cora,20,0.2,0.1864406779661017,0.9857142857142858
cora,20,0.025,0.3,0.9615384615384616
cora,20,0.05,0.3,0.9615384615384616
cora,20,0.075,0.2153846153846154,0.9746835443037974
cora,20,0.1,0.16666666666666666,0.9809523809523808
cora,20,0.125,0.1592920353982301,0.9770992366412212
cora,20,0.15,0.18796992481203006,0.9746835443037974
cora,20,0.175,0.1948051948051948,0.9673913043478259
cora,20,0.2,0.1864406779661017,0.9666666666666668
cora,20,0.025,0.08333333333333333,0.9615384615384616
cora,20,0.05,0.10638297872340426,0.9807692307692308
cora,20,0.075,0.12857142857142856,0.9873417721518988
cora,20,0.1,0.16666666666666666,0.9809523809523808
cora,20,0.125,0.1592920353982301,0.9847328244274808
cora,20,0.15,0.16176470588235295,0.9746835443037974
cora,20,0.175,0.1794871794871795,0.9728260869565216
cora,20,0.2,0.2,0.961904761904762
cora,20,0.025,0.2380952380952381,1.0
cora,20,0.05,0.15555555555555556,1.0
cora,20,0.075,0.19696969696969696,1.0
cora,20,0.1,0.22093023255813954,1.0
cora,20,0.125,0.19090909090909086,0.9847328244274808
cora,20,0.15,0.234375,0.9683544303797468
cora,20,0.175,0.2185430463576159,0.9673913043478259
cora,20,0.2,0.206896551724138,0.9666666666666668
cora,20,0.025,0.18181818181818185,1.0
cora,20,0.05,0.15555555555555556,0.9615384615384616
cora,20,0.075,0.1791044776119403,0.9620253164556962
cora,20,0.1,0.16666666666666666,0.961904761904762
cora,20,0.125,0.16964285714285715,0.9694656488549618
cora,20,0.15,0.19696969696969696,0.9620253164556962
cora,20,0.175,0.1870967741935484,0.9619565217391304
cora,20,0.2,0.19318181818181807,0.9666666666666668
cora,20,0.025,0.2380952380952381,1.0
cora,20,0.05,0.18181818181818185,1.0
cora,20,0.075,0.19696969696969696,0.9620253164556962
cora,20,0.1,0.22093023255813954,0.9714285714285714
cora,20,0.125,0.1801801801801801,0.9694656488549618
cora,20,0.15,0.16176470588235295,0.9746835443037974
cora,20,0.175,0.15723270440251572,0.9782608695652174
cora,20,0.2,0.14754098360655735,0.9761904761904762
cora,20,0.025,0.3684210526315789,1.0
cora,20,0.05,0.2380952380952381,1.0
cora,20,0.075,0.2153846153846154,0.9873417721518988
cora,20,0.1,0.15384615384615385,0.961904761904762
cora,20,0.125,0.1592920353982301,0.9694656488549618
cora,20,0.15,0.17037037037037034,0.9556962025316456
cora,20,0.175,0.1794871794871795,0.9565217391304348
cora,20,0.2,0.16666666666666666,0.961904761904762
cora,20,0.025,0.13043478260869565,0.9615384615384616
cora,20,0.05,0.15555555555555556,0.9807692307692308
cora,20,0.075,0.19696969696969696,0.9873417721518988
cora,20,0.1,0.19318181818181807,0.9523809523809524
cora,20,0.125,0.1801801801801801,0.9541984732824428
cora,20,0.15,0.1791044776119403,0.9556962025316456
cora,20,0.175,0.20261437908496727,0.9565217391304348
cora,20,0.2,0.2280701754385965,0.9571428571428572
cora,20,0.025,0.18181818181818185,1.0
cora,20,0.05,0.20930232558139536,0.9807692307692308
cora,20,0.075,0.1791044776119403,0.9620253164556962
cora,20,0.1,0.1797752808988764,0.9714285714285714
cora,20,0.125,0.1391304347826087,0.9770992366412212
cora,20,0.15,0.15328467153284672,0.981012658227848
cora,20,0.175,0.16455696202531644,0.967391304347826
cora,20,0.2,0.1864406779661017,0.961904761904762
cora,10,0.025,0.18181818181818185,0.9615384615384616
cora,10,0.05,0.15555555555555556,0.9807692307692308
cora,10,0.075,0.12857142857142856,0.9746835443037974
cora,10,0.1,0.12903225806451613,0.9809523809523808
cora,10,0.125,0.11965811965811965,0.9847328244274808
cora,10,0.15,0.12857142857142856,0.9683544303797468
cora,10,0.175,0.12195121951219512,0.9673913043478259
cora,10,0.2,0.11702127659574467,0.9714285714285714
cora,10,0.025,0.08333333333333333,1.0
cora,10,0.05,0.08333333333333333,1.0
cora,10,0.075,0.09722222222222222,1.0
cora,10,0.1,0.10526315789473684,1.0
cora,10,0.125,0.11016949152542373,1.0
cora,10,0.15,0.12056737588652484,0.9936708860759492
cora,10,0.175,0.12883435582822084,0.9728260869565216
cora,10,0.2,0.13513513513513514,0.9714285714285714
cora,10,0.025,0.5294117647058824,1.0
cora,10,0.05,0.3684210526315789,1.0
cora,10,0.075,0.29508196721311475,1.0
cora,10,0.1,0.2352941176470588,0.9809523809523808
cora,10,0.125,0.21296296296296294,0.9770992366412212
cora,10,0.15,0.19696969696969696,0.9683544303797468
cora,10,0.175,0.20261437908496727,0.9619565217391304
cora,10,0.2,0.2138728323699422,0.9571428571428572
cora,10,0.025,0.3684210526315789,1.0
cora,10,0.05,0.3,1.0
cora,10,0.075,0.27419354838709675,0.9873417721518988
cora,10,0.1,0.2804878048780488,0.9904761904761904
cora,10,0.125,0.2358490566037736,0.9923664122137404
cora,10,0.15,0.20610687022900764,0.9936708860759492
cora,10,0.175,0.21052631578947367,0.9891304347826086
cora,10,0.2,0.19318181818181807,0.9857142857142858
cora,10,0.025,0.13043478260869565,1.0
cora,10,0.05,0.15555555555555556,1.0
cora,10,0.075,0.1791044776119403,0.9746835443037974
cora,10,0.1,0.19318181818181807,0.9714285714285714
cora,10,0.125,0.19090909090909086,0.9770992366412212
cora,10,0.15,0.2153846153846154,0.9746835443037974
cora,10,0.175,0.2185430463576159,0.9782608695652174
cora,10,0.2,0.22093023255813954,0.9761904761904762
cora,10,0.025,0.3684210526315789,1.0
cora,10,0.05,0.3,0.9807692307692308
cora,10,0.075,0.19696969696969696,0.9746835443037974
