dataset,T2,auc,ap,dp,true,false,fnr,tnr
cora,20,0.8496952064782575,0.8704247863314931,0.19242876972608647,0.043841824803249364,0.04592617339623038,0.20995475113122167,0.1407820959010054
cora,20,0.8482441516730339,0.8758383572630875,0.1892816854390537,0.059122783086947926,0.04073243114945495,0.17548645208219674,0.19666048237476808
cora,20,0.8349758217543,0.8569761653115298,0.16151675960086292,0.03343826247889774,0.03628491796526898,0.1190442987960768,0.14628109152378652
cora,20,0.8375430725635422,0.8613113383548527,0.16474836797201364,0.0060012105981905,0.03679353925254592,0.07211699832174537,0.16876320573927572
cora,20,0.8297513043290401,0.8547372742548556,0.18112910745226016,0.05703449618298832,0.041115094072925414,0.16357288075665166,0.136069218870843
cora,20,0.8655955985871119,0.8785255807994126,0.16256731279943504,0.034065334718352075,0.012587100115992336,0.17331589274035314,0.10701923850921677
cora,20,0.8275333148500876,0.8449617981347092,0.18869395575880088,0.0913192277430862,0.05036222187117538,0.2702485380116959,0.1702648675662169
cora,20,0.8408700567819709,0.8635861527860638,0.17401459296465294,0.04766601168800173,0.03587604225017665,0.1384313725490196,0.14588235294117646
cora,20,0.8355087153304119,0.8559800009361382,0.1805278516268827,0.08256041958680285,0.0034799658669246486,0.2654901960784314,0.06313246885329266
cora,20,0.8308566984362454,0.8537939881163129,0.1610877931179285,0.02034262867443876,0.04719975245849069,0.10980392156862744,0.16619700799801085
cora,20,0.8518051769890793,0.8647671372133239,0.17895458604967598,0.05145992421038521,0.02230799408933866,0.1774193548387097,0.14735992523682087
cora,20,0.8362612474750566,0.8577166355922198,0.1602291895893122,0.04275563120527188,0.015036188627626254,0.12141728729406455,0.1530098117210289
cora,20,0.8549773340198539,0.8747820579387414,0.1896197373689248,0.05828626586031919,0.0381694605357958,0.15903981264637002,0.11269215255680545
cora,20,0.8327866373335158,0.8561090646773127,0.18205595442566724,0.07076703300873009,0.058855561382078675,0.17965386238919376,0.2318603504683369
cora,20,0.8362900525332249,0.8656804107345865,0.1763435107725516,0.05184692016599481,0.028532170520405832,0.15176470588235294,0.13126218323586744
cora,20,0.8420258597409704,0.8643726648069798,0.19825115299977009,0.09435737248378548,0.03664237773271717,0.2257454383622608,0.1317673152535538
cora,20,0.8324013696805158,0.8608810860948101,0.18922439378906813,0.06613805723748059,0.05438805266404325,0.17006626630772415,0.197707054849912
cora,20,0.8321565266860859,0.8570558833330555,0.18989407486757776,0.06758942491872116,0.04876891774087884,0.17211360068502926,0.2143052891203069
cora,20,0.8305290408995819,0.8529620474000457,0.18269278377175616,0.06542757017369763,0.0454415854056989,0.16211363344876234,0.1611943793911007
cora,20,0.8210737805558656,0.8445866198301271,0.1709561212110969,0.03620692795583883,0.050239366828754274,0.1323276497469412,0.1525615870939612
cora,10,0.8554058092601061,0.8770681849440605,0.2096716304649112,0.05986446352565542,0.05681332674476535,0.21855203619909505,0.15472737819025525
cora,10,0.8530870020775649,0.8808481329112445,0.20590772681595407,0.07094946419699195,0.060517307157003576,0.20358246953991635,0.1968745540174112
cora,10,0.8435345246625308,0.8653757757873075,0.173202851572614,0.031350876765210464,0.04926230447922597,0.12394831032399015,0.1677936086291556
cora,10,0.8573933582737129,0.881385383827363,0.1876389480077552,0.02564814896375159,0.04367888875744045,0.1275473507552146,0.15623310893813572
cora,10,0.8366789208184957,0.8643000222483272,0.1960117405673584,0.07145875682675544,0.055479824421447006,0.1668213559621674,0.15941608662026294
cora,10,0.8797172783540788,0.8943585062780343,0.1828253489340267,0.04159310561936598,0.033676634806674516,0.19768912143012865,0.1183691539885696
cora,10,0.8365132917340286,0.8576414658180368,0.20722360762837053,0.09921079436544863,0.07140855713887617,0.25972222222222224,0.2465017491254373
cora,10,0.8551645668979473,0.8790404249165079,0.18739775880818293,0.04732860685285194,0.042539859654768634,0.14274509803921567,0.16823529411764707
cora,10,0.8531014046066487,0.8745166294248927,0.1965234561905662,0.08651930280898038,0.0190921281685206,0.25882352941176473,0.08649885583524028
cora,10,0.8486330199583045,0.873011900974432,0.1823807073857545,0.034956952148432266,0.06113926619699255,0.1619607843137255,0.1971530396585305
cora,10,0.8611560189969358,0.8834262039702874,0.1929038372436433,0.05884889247602216,0.03145503174894,0.2119815668202765,0.15201138439318634
cora,10,0.8585851675554228,0.8759124359540051,0.18100336517267016,0.05730647868032356,0.021272249761864773,0.18853531934100654,0.1906214089984973
cora,10,0.8638636944647481,0.8828285141897743,0.2045124517157149,0.07292151649403485,0.04169854510913154,0.19562060889929744,0.15273607314121812
cora,10,0.8426379672270451,0.8694141881095627,0.20004297786413847,0.07966907397176767,0.07480866873300636,0.18761080624736176,0.2446779904091785
cora,10,0.8559963129525543,0.8838197290358794,0.19516164006950315,0.0530156962766891,0.0522545906273375,0.15215686274509804,0.18830409356725147
cora,10,0.8437325594374372,0.8703980877686706,0.20509201460065785,0.09846006420145463,0.04597691315542165,0.2232977303070761,0.13912692811775382
cora,10,0.8449063655577919,0.8737990874329917,0.20933975477500627,0.0823603029583782,0.06571978609004947,0.22411472354524747,0.1895247609533324
