dataset,auc,ap,dp,true,false,fnr,tnr
UNC28,0.871965982509732,0.870770071556989,0.02526833986967,0.012403820937376,0.005713566641678,0.110352279369459,0.021959847768895
UNC28,0.873795699633254,0.871394808393359,0.025621852850747,0.009211384857192,0.002058765273564,0.141428051845465,0.026803538060641
UNC28,0.873723025323794,0.874262689966603,0.038366176444776,0.014320701659975,0.015328291176944,0.130370398992088,0.026668051724002
UNC28,0.869083919327152,0.869309416930432,0.016507782222476,0.009551747926003,0.007192317863978,0.120858271957589,0.021880249002125
UNC28,0.870737429996125,0.869327586488347,0.022675352985976,0.013582618443081,0.007549293339278,0.114784151305107,0.012819285250568
UNC28,0.87314389532046,0.876340376485264,0.024432141887871,0.015702674532338,0.000860834898151,0.123101619710689,0.014323407888151
UNC28,0.875220310866764,0.873037310235264,0.024060239094367,0.019713713884137,0.007454601525891,0.115086767100157,0.02458252217429
UNC28,0.868355498411068,0.86362751546511,0.027036338859294,0.02283359706152,0.00104710236076,0.147348543965585,0.015223234588865
UNC28,0.869896794502115,0.871791627434349,0.028726815567352,0.018464343386393,0.003549297403843,0.125547798647805,0.016350309033236
UNC28,0.874595363430682,0.871688998963213,0.016666125591557,0.000665032081075,0.005936819440209,0.124257790832087,0.016306151782724
UNC28,0.8714370346216,0.868981028969644,0.032252917930137,0.013776418763793,0.017905015203111,0.117988091611237,0.035756297408023
UNC28,0.865901760759834,0.863311924331286,0.02350616033205,0.009350205428401,0.005934948032037,0.135604500439141,0.015990901932157
UNC28,0.868744659130503,0.867763795338413,0.016987288040552,0.011267136094975,0.016162516343353,0.121695883227422,0.02216728050517
UNC28,0.876403034214605,0.876986882086737,0.026559556295189,0.011356193886513,0.00423526585825,0.119368369109302,0.011233063109033
UNC28,0.875004528944697,0.871445887785807,0.024301540876578,0.008276752868739,0.009232349398192,0.140600318969712,0.017250624562769
UNC28,0.873471668893124,0.872472570910707,0.036325996245591,0.011804904003,0.01886261346191,0.13157289954391,0.026297496932273
UNC28,0.871074437453443,0.86836885980335,0.03996232016038,0.02210813817283,0.013821063952719,0.142543859649123,0.020119831987367
UNC28,0.875101314604809,0.874202181056405,0.039977295466141,0.014198613258823,0.02667276664964,0.107679687829556,0.03815912027161
UNC28,0.868928738439693,0.868944370763072,0.021132602327283,0.014140192403153,0.003129810441222,0.121952758942704,0.01665129734171
UNC28,0.876658567599451,0.875812843422586,0.039948013407729,0.006286953538311,0.036997026698783,0.119980355882691,0.047441333359386
