dataset,T2,auc,ap,dp,true,false,fnr,tnr
UNC28,20,0.8728018895977508,0.8826118654396701,0.01619074015265665,0.0018929934050330734,0.0035654169292033038,0.036396198685381236,0.02674899747132896
UNC28,20,0.8734553247999569,0.8822329210132498,0.014117901478417787,0.000470429225496966,0.0025807228020607,0.02599235861379027,0.02044932668018785
UNC28,20,0.8679102069366349,0.8761432896603105,0.018022051478411644,0.0008755851744797254,0.0033404343617579177,0.01652529043807901,0.017153609495732684
UNC28,20,0.8680680981511018,0.8771230061136597,0.0091953544119698,0.006173502025076486,0.0008807292189348488,0.026327017229588655,0.02444943799931368
UNC28,20,0.8682384028979239,0.8778890049244472,0.01625551110129719,0.002283600432698144,0.003422742401418766,0.023158436876327817,0.015887340333296154
UNC28,20,0.8663983255200824,0.8727445319874017,0.012502161539913596,0.00584086989310679,0.0031639633861210124,0.02839762369019117,0.012549468156260004
UNC28,20,0.8686714451022443,0.8760848537261594,0.010322620566637398,0.0011871630156516904,0.002458537182286657,0.03600955348518605,0.0199574009407488
UNC28,20,0.8536040332857253,0.8584049282034052,0.015746011337952694,0.009822844456211665,0.0016248305407129098,0.04074916212031835,0.012630224283564036
UNC28,20,0.8717244583476006,0.877284609514074,0.01298234909705642,0.0031116239736280697,0.00209128017955015,0.03155464506292968,0.021036233231355183
UNC28,20,0.8757076652083934,0.8813788007016949,0.016105776087047538,0.0007987200445315196,0.00598226084068916,0.03900684779235938,0.02727742423855561
UNC28,20,0.8739857041162052,0.8823800009348639,0.0194052785858814,0.006543276206064411,0.010214341618156715,0.0222240804845178,0.029429593874083382
UNC28,20,0.8658763705102905,0.8758675026739919,0.01651600477582818,0.006992595458227232,0.004016958829962432,0.023623519791635118,0.018152199995268462
UNC28,20,0.8697663702812621,0.8792597815794191,0.01119229210924898,0.001129968192935843,0.0035347073007329227,0.03353148572524345,0.020565342257523773
UNC28,20,0.8769089032576112,0.8857139745550967,0.016517930157553533,0.0005599549121430116,0.0007485707458814244,0.015743708007627262,0.015617590374202647
