dataset,auc,ap,dp,true,false,fnr,tnr
UNC28,0.8800723241962225,0.8929663402261256,0.02241719333864663,0.008171283912353342,0.004453823158562925,0.05800293629730467,0.02190237797246558
UNC28,0.8812962891000456,0.8922674865323811,0.021271978163463167,0.01360175359099874,0.002747451795218076,0.07579169219858789,0.017527538373404858
UNC28,0.8752184218509709,0.8859066374796241,0.02647270513631912,0.016000035207850576,0.0038522709636023187,0.08145273507553939,0.018324646669494387
UNC28,0.8729580208596152,0.8854155013960167,0.013970199797570736,0.01523696403797773,0.0010031446087199276,0.08709959513189985,0.02666869352148968
UNC28,0.8742625094615051,0.8870160455333713,0.022523120290588856,0.01308835565642912,0.0039532440976963,0.0799207422190748,0.01860481155906267
UNC28,0.8723473055735775,0.8811103091126699,0.01918603737151928,0.01858864661665276,0.003239325131475477,0.07359155798662992,0.014311759480676419
UNC28,0.8756559226018839,0.8862505322832022,0.017784702565612234,0.011896194517336749,0.0016373480953583465,0.06288908917637873,0.01994115036246774
UNC28,0.8591969397287101,0.8667072424933406,0.02237153926825216,0.02226160454665101,0.0017226395361710821,0.08839238579083031,0.011703746882994916
UNC28,0.8766476558933163,0.8859191866094138,0.02036905639576169,0.01611807618553789,0.0010904785981072716,0.0749312225768418,0.015813374349959716
UNC28,0.8814337883303598,0.8906390034086753,0.022350100645247426,0.012212720297795007,0.004460652524492664,0.06731572057108831,0.02154040134753765
UNC28,0.8789067427867288,0.8898119200390604,0.02496032637020363,0.016725508565739542,0.010192807940324991,0.07039592130156057,0.03331688277739468
UNC28,0.870886544913615,0.8833573316325627,0.022152541156668547,0.01632415998913194,0.005041974075298121,0.08180592991913746,0.02730096286758121
UNC28,0.8765482185712827,0.8883219611952444,0.01802738076939356,0.01150561715486336,0.0035677839352414383,0.06532174923438244,0.01990894561971653
UNC28,0.8818834092881944,0.8932926728186785,0.022985217556934626,0.01191313785108904,0.0011361779452500938,0.07874506716640353,0.016941678184146762
UNC28,0.8841841483931961,0.8937634154880607,0.03148396403816848,0.020745693587256808,0.006662957397236525,0.08798252658772521,0.029041370782441126
UNC28,0.8781712937932525,0.8869098023199345,0.021762436157521832,0.011095133530401934,0.002865127708902371,0.07097696757746236,0.015578275282505575
UNC28,0.8705877988258721,0.8770624138683594,0.02848686782675445,0.024253641166489055,0.002191310961070799,0.08132309941520467,0.014452503760005559
UNC28,0.8788797803128604,0.8896236357670898,0.02553615587903335,0.010613013531034918,0.012206020999714124,0.07867592820961447,0.03718489919778866
UNC28,0.8825673972675774,0.8946072377909065,0.017186246577481676,0.013747262778345384,0.0021438325307841974,0.0834525510374052,0.020615596662562442
UNC28,0.8750337441578958,0.8870049039093909,0.027270326040141787,0.015095413088484284,0.013380184129825794,0.0752203613958281,0.03457886122162485
