dataset,T2,clusters,min,mean
Oklahoma97,20,8,0.625,0.8083184328349554
Oklahoma97,20,4,0.8880778588807786,0.9216863021107308
Oklahoma97,20,5,0.8395904436860068,0.9114625856204384
Oklahoma97,20,6,0.6075949367088608,0.8397005651869435
Oklahoma97,20,7,0.6351351351351351,0.8441415116876906
Oklahoma97,20,8,0.5967741935483871,0.8067033960368506
Oklahoma97,20,4,0.7861271676300579,0.8996409478665576
Oklahoma97,20,5,0.6233766233766234,0.8192823306559174
Oklahoma97,20,6,0.6428571428571429,0.7931237676036638
Oklahoma97,20,7,0.625,0.7768305725343253
Oklahoma97,20,8,0.5979899497487438,0.7652129312289264
Oklahoma97,20,4,0.8202247191011236,0.8906604579479205
Oklahoma97,20,5,0.7517564402810304,0.8908447008208473
Oklahoma97,20,6,0.6816037735849056,0.851691045513515
Oklahoma97,20,7,0.6875,0.8564509953697108
Oklahoma97,20,8,0.6790830945558739,0.8283236673391339
Oklahoma97,20,4,0.8701657458563536,0.8956021778060798
Oklahoma97,20,5,0.8181818181818182,0.8785428004198059
Oklahoma97,20,6,0.7486910994764397,0.8589939266980667
Oklahoma97,20,7,0.7240506329113924,0.8325591513995775
Oklahoma97,20,8,0.6477272727272727,0.8308674512401897
Oklahoma97,20,4,0.8872180451127819,0.9370152134557472
Oklahoma97,20,5,0.8304668304668305,0.9064652268064958
Oklahoma97,20,6,0.6197183098591549,0.8444761226238718
Oklahoma97,20,7,0.6285714285714286,0.8169465702532221
Oklahoma97,20,8,0.4598930481283423,0.7815061942223479
Oklahoma97,20,4,0.8595194085027726,0.9210707633769686
Oklahoma97,20,5,0.6486486486486487,0.8663837458144041
Oklahoma97,20,6,0.6351351351351351,0.8114174306098333
Oklahoma97,20,7,0.6351351351351351,0.8165957434376993
Oklahoma97,20,8,0.6301369863013698,0.7798716627164104
Oklahoma97,20,4,0.846307385229541,0.930814978473088
Oklahoma97,20,5,0.84,0.8955348484848485
Oklahoma97,20,6,0.6839080459770115,0.8576910572139447
Oklahoma97,20,7,0.5777777777777777,0.8193437288040231
Oklahoma97,20,8,0.6022727272727273,0.8123011268684519
Oklahoma97,20,4,0.8650793650793651,0.935211996133617
Oklahoma97,20,5,0.8852459016393442,0.9450797986077386
Oklahoma97,20,6,0.7184750733137829,0.8495339817002434
Oklahoma97,20,7,0.6575342465753424,0.8151787481466898
Oklahoma97,20,8,0.6216216216216216,0.7944449581287576
Oklahoma97,20,4,0.8256578947368421,0.9086541472921006
Oklahoma97,20,5,0.8181818181818182,0.8844644568629341
Oklahoma97,20,6,0.7973684210526316,0.8603985910449611
Oklahoma97,20,7,0.7272727272727273,0.8314976589593265
Oklahoma97,20,8,0.7379310344827587,0.8207075659464313
Oklahoma97,20,4,0.8615107913669064,0.9365207004973344
Oklahoma97,20,5,0.7828418230563002,0.9141142116768574
Oklahoma97,20,6,0.6351351351351351,0.8472961989858353
Oklahoma97,20,7,0.6575342465753424,0.8367932906128515
Oklahoma97,20,8,0.632183908045977,0.8141802139696039
Oklahoma97,10,4,0.9046793760831888,0.9355987744316778
Oklahoma97,10,5,0.8623188405797102,0.9234538240515864
Oklahoma97,10,6,0.8413793103448276,0.9052336492092709
Oklahoma97,10,7,0.7701612903225806,0.8714659923483251
Oklahoma97,10,8,0.7630522088353414,0.8295439956337456
Oklahoma97,10,4,0.8591549295774648,0.886411896649018
Oklahoma97,10,5,0.8452655889145496,0.8693466973411574
Oklahoma97,10,6,0.4909090909090909,0.7649166712062611
Oklahoma97,10,7,0.4545454545454545,0.7718987046841784
Oklahoma97,10,8,0.4636363636363636,0.7648990372862932
Oklahoma97,10,4,0.8743961352657005,0.9157362271585706
Oklahoma97,10,5,0.8214285714285714,0.8929520007094375
Oklahoma97,10,6,0.6111111111111112,0.8492999507578572
Oklahoma97,10,7,0.6571428571428571,0.8418886149159298
Oklahoma97,10,8,0.6319444444444444,0.7877933882514097
Oklahoma97,10,4,0.8397976391231029,0.9001457200929801
Oklahoma97,10,5,0.6891891891891891,0.8495287561771365
Oklahoma97,10,6,0.6756756756756757,0.8571856945080829
Oklahoma97,10,7,0.6621621621621622,0.8146179143775072
Oklahoma97,10,8,0.5510204081632653,0.7764450204988875
Oklahoma97,10,4,0.8248945147679325,0.909402634440068
Oklahoma97,10,5,0.8857868020304569,0.929565326502832
Oklahoma97,10,6,0.6714285714285714,0.879697905389985
Oklahoma97,10,7,0.7083333333333334,0.874045193198377
Oklahoma97,10,8,0.6986301369863014,0.8313027424227044
Oklahoma97,10,4,0.8827930174563591,0.9214917359417172
Oklahoma97,10,5,0.6712328767123288,0.8622593836435419
Oklahoma97,10,6,0.6944444444444444,0.8618049612961894
Oklahoma97,10,7,0.6527777777777778,0.8097576842998503
Oklahoma97,10,8,0.6619718309859155,0.8142597977360977
Oklahoma97,10,4,0.8681732580037664,0.9199044440323296
Oklahoma97,10,5,0.6984126984126984,0.8599940838499418
Oklahoma97,10,6,0.6850393700787402,0.8479563619457885
Oklahoma97,10,7,0.7297297297297297,0.8679082460630682
Oklahoma97,10,8,0.6536312849162011,0.8063951384618113
Oklahoma97,10,4,0.8940886699507389,0.9311350077820894
Oklahoma97,10,5,0.7042253521126759,0.8833632068448637
Oklahoma97,10,6,0.6857142857142857,0.8257401747032546
