dataset,ratio,div,recall
1684,0.15,0.7213114754098361,0.9571428571428572
1684,0.175,0.7625899280575541,0.9530612244897959
1684,0.2,0.7125382262996942,0.9553571428571428
1684,0.025,0.75,0.9857142857142858
1684,0.05,0.75,0.9928571428571428
1684,0.075,0.7796610169491526,0.9809523809523808
1684,0.1,0.8181818181818182,0.9857142857142858
1684,0.125,0.8041237113402062,0.98
1684,0.15,0.7948717948717948,0.9833333333333332
1684,0.175,0.75,0.9816326530612244
1684,0.2,0.7610062893081762,0.9785714285714284
1684,0.025,0.75,1.0
1684,0.05,0.8181818181818182,0.9714285714285714
1684,0.075,0.875,0.9666666666666668
1684,0.1,0.8791946308724832,0.9678571428571427
1684,0.125,0.8518518518518519,0.9714285714285714
1684,0.15,0.8103448275862069,0.9642857142857144
1684,0.175,0.7753623188405797,0.9693877551020408
1684,0.2,0.7721518987341772,0.9678571428571427
1684,0.025,0.8918918918918919,0.9714285714285714
1684,0.05,0.7948717948717948,0.9785714285714284
1684,0.075,0.6935483870967742,0.9857142857142858
1684,0.1,0.75,0.9821428571428572
1684,0.125,0.6908212560386473,0.9742857142857144
1684,0.15,0.6666666666666666,0.9738095238095238
1684,0.175,0.6896551724137931,0.9755102040816328
1684,0.2,0.7073170731707317,0.9714285714285714
1684,0.025,0.8421052631578947,0.9714285714285714
1684,0.05,0.7948717948717948,0.9785714285714284
1684,0.075,0.68,0.9666666666666668
1684,0.1,0.7177914110429447,0.9714285714285714
1684,0.125,0.7326732673267327,0.9771428571428572
1684,0.15,0.7427385892116183,0.9785714285714284
1684,0.175,0.7375886524822695,0.9795918367346941
1684,0.2,0.7554858934169278,0.975
1684,0.025,0.8421052631578947,1.0
1684,0.05,0.8421052631578947,0.9642857142857144
1684,0.075,0.8421052631578947,0.9666666666666668
1684,0.1,0.8791946308724832,0.9714285714285714
1684,0.125,0.8324607329842932,0.9742857142857144
1684,0.15,0.7721518987341772,0.9761904761904762
1684,0.175,0.7562724014336918,0.979591836734694
1684,0.2,0.7834394904458599,0.9714285714285714
1684,0.025,0.7948717948717948,0.9428571428571428
1684,0.05,0.6867469879518072,0.9642857142857144
1684,0.075,0.8260869565217391,0.9523809523809524
1684,0.1,0.75,0.9571428571428572
1684,0.125,0.8229166666666666,0.9571428571428572
1684,0.15,0.8181818181818182,0.9642857142857144
1684,0.175,0.8215613382899628,0.9693877551020408
1684,0.2,0.8604651162790697,0.9732142857142856
1684,0.025,0.7073170731707317,0.9714285714285714
1684,0.05,0.6867469879518072,0.9642857142857144
1684,0.075,0.6935483870967742,0.9666666666666668
1684,0.1,0.75,0.9714285714285714
1684,0.125,0.7676767676767676,0.9742857142857144
1684,0.15,0.7142857142857143,0.9761904761904762
1684,0.175,0.7132867132867133,0.9755102040816328
1684,0.2,0.7125382262996942,0.9714285714285714
1684,0.025,0.7073170731707317,1.0
1684,0.05,0.7283950617283951,0.9928571428571428
1684,0.075,0.7948717948717948,0.9714285714285714
1684,0.1,0.8181818181818182,0.9714285714285714
1684,0.125,0.7857142857142857,0.9714285714285714
1684,0.15,0.7573221757322176,0.9690476190476188
1684,0.175,0.7562724014336918,0.9714285714285714
1684,0.2,0.7554858934169278,0.9678571428571427
1684,0.025,0.75,0.9857142857142858
1684,0.05,0.6867469879518072,0.9857142857142858
1684,0.075,0.640625,0.9904761904761904
1684,0.1,0.7610062893081762,0.9857142857142858
1684,0.125,0.7326732673267327,0.9771428571428572
1684,0.15,0.7796610169491526,0.9785714285714284
1684,0.175,0.7625899280575541,0.979591836734694
1684,0.2,0.7891373801916933,0.9767857142857144
1684,0.025,0.5555555555555556,0.9571428571428572
1684,0.05,0.6666666666666666,0.9714285714285714
1684,0.075,0.7355371900826446,0.9809523809523808
1684,0.1,0.7610062893081762,0.9821428571428572
1684,0.125,0.75,0.98
1684,0.15,0.7573221757322176,0.9809523809523808
1684,0.175,0.8014705882352942,0.9755102040816328
1684,0.2,0.7891373801916933,0.975
1684,0.025,0.5217391304347826,1.0
1684,0.05,0.7283950617283951,0.9857142857142858
1684,0.075,0.7948717948717948,0.9809523809523808
1684,0.1,0.8300653594771242,0.9785714285714284
1684,0.125,0.7857142857142857,0.98
1684,0.15,0.7721518987341772,0.9833333333333332
1684,0.175,0.7625899280575541,0.9816326530612244
1684,0.2,0.7665615141955836,0.9767857142857144
1684,0.025,0.7073170731707317,0.9857142857142858
1684,0.05,0.8918918918918919,0.9928571428571428
1684,0.075,0.8584070796460177,0.9904761904761904
1684,0.1,0.9178082191780822,0.9785714285714284
1684,0.125,0.9021739130434784,0.98
1684,0.15,0.8666666666666667,0.9738095238095238
1684,0.175,0.8702290076335878,0.9734693877551021
1684,0.2,0.8855218855218855,0.9714285714285714
1684,0.025,0.5217391304347826,1.0
1684,0.05,0.75,0.9785714285714284
1684,0.075,0.7948717948717948,0.9857142857142858
1684,0.1,0.8064516129032258,0.9892857142857144
1684,0.125,0.7948717948717948,0.9828571428571428
1684,0.15,0.7948717948717948,0.9785714285714284
1684,0.175,0.7753623188405797,0.9775510204081632
1684,0.2,0.7445482866043613,0.9732142857142856
1684,0.025,0.7948717948717948,0.9714285714285714
1684,0.05,0.75,0.9857142857142858
1684,0.075,0.7647058823529411,0.9761904761904762
1684,0.1,0.8064516129032258,0.9678571428571429
1684,0.125,0.7587939698492462,0.9657142857142857
1684,0.15,0.7355371900826446,0.9714285714285714
1684,0.175,0.7192982456140351,0.9693877551020408
1684,0.2,0.75,0.9696428571428571
