dataset,ratio,div,recall
Oklahoma97,0.025,0.0027397260273972607,0.9836065573770492
Oklahoma97,0.05,0.008264462809917356,0.9863387978142076
Oklahoma97,0.075,0.025210084033613446,0.98816029143898
Oklahoma97,0.1,0.042735042735042736,0.9849726775956285
Oklahoma97,0.125,0.07142857142857142,0.9846994535519126
Oklahoma97,0.15,0.10130391173520564,0.9854280510018216
Oklahoma97,0.175,0.14419642857142856,0.9793211080764728
Oklahoma97,0.2,0.18152480839048,0.9747354045749402
Oklahoma97,0.025,0.011049723756906077,0.9918032786885246
Oklahoma97,0.05,0.011049723756906077,0.994535519125683
Oklahoma97,0.075,0.024253731343283583,0.9954462659380692
Oklahoma97,0.1,0.04125177809388336,0.994535519125683
Oklahoma97,0.125,0.06148491879350348,0.992896174863388
Oklahoma97,0.15,0.0963554667998003,0.9908925318761383
Oklahoma97,0.175,0.13759431868619618,0.9890753023800234
Oklahoma97,0.2,0.1867909238249595,0.9836121543188802
Oklahoma97,0.025,0.01949860724233984,0.9918032786885246
Oklahoma97,0.05,0.03098591549295775,0.9904371584699454
Oklahoma97,0.075,0.036827195467422094,0.9845173041894352
Oklahoma97,0.1,0.048710601719197714,0.98224043715847
Oklahoma97,0.125,0.07142857142857142,0.9841530054644808
Oklahoma97,0.15,0.09526184538653366,0.9836065573770492
Oklahoma97,0.175,0.13557820115197164,0.981271946937183
Oklahoma97,0.2,0.1720688275310124,0.9757596449300102
Oklahoma97,0.025,0.0,0.9918032786885246
Oklahoma97,0.05,0.009655172413793104,0.9918032786885246
Oklahoma97,0.075,0.02712815715622076,0.9927140255009108
Oklahoma97,0.1,0.04946236559139785,0.989071038251366
Oklahoma97,0.125,0.07080163838502047,0.9852459016393442
Oklahoma97,0.15,0.09362549800796813,0.9817850637522768
Oklahoma97,0.175,0.13608156028368795,0.9789309403043308
Oklahoma97,0.2,0.18057234985892784,0.9743939911232502
Oklahoma97,0.025,0.005494505494505495,0.9972677595628416
Oklahoma97,0.05,0.00687757909215956,0.9959016393442623
Oklahoma97,0.075,0.014787430683918669,0.9963570127504554
Oklahoma97,0.1,0.03389830508474576,0.996584699453552
Oklahoma97,0.125,0.0676779463243874,0.994535519125683
Oklahoma97,0.15,0.0969030969030969,0.9922586520947176
Oklahoma97,0.175,0.13507528786536754,0.9886851346078814
Oklahoma97,0.2,0.19161920260374288,0.9839535677705702
Oklahoma97,0.025,0.005494505494505495,0.994535519125683
Oklahoma97,0.05,0.025210084033613446,0.9918032786885246
Oklahoma97,0.075,0.02808988764044944,0.9908925318761383
Oklahoma97,0.1,0.047959914101646385,0.9924863387978142
Oklahoma97,0.125,0.0745742806811509,0.9901639344262296
Oklahoma97,0.15,0.11246200607902736,0.9895264116575592
Oklahoma97,0.175,0.14881219184222322,0.9851736246586033
Oklahoma97,0.2,0.18871753246753248,0.9788323659952202
Oklahoma97,0.025,0.008264462809917356,0.9918032786885246
Oklahoma97,0.05,0.01808066759388039,0.9904371584699454
Oklahoma97,0.075,0.03195488721804511,0.9899817850637522
Oklahoma97,0.1,0.05399568034557235,0.989071038251366
Oklahoma97,0.125,0.08284023668639054,0.9857923497267759
Oklahoma97,0.15,0.11133603238866396,0.9840619307832422
Oklahoma97,0.175,0.14063195371606588,0.982052282481467
Oklahoma97,0.2,0.18727199027158486,0.9764424718333904
Oklahoma97,0.025,0.0,0.9972677595628416
Oklahoma97,0.05,0.015256588072122053,0.993169398907104
Oklahoma97,0.075,0.0348727615457116,0.994535519125683
Oklahoma97,0.1,0.05399568034557235,0.9904371584699454
Oklahoma97,0.125,0.08348134991119005,0.9879781420765028
Oklahoma97,0.15,0.10965133906013136,0.9845173041894352
Oklahoma97,0.175,0.14164810690423166,0.9824424502536092
Oklahoma97,0.2,0.18295638126009686,0.9774667121884604
Oklahoma97,0.025,0.0,0.9972677595628416
Oklahoma97,0.05,0.012448132780082987,0.9918032786885246
Oklahoma97,0.075,0.029053420805998126,0.98816029143898
Oklahoma97,0.1,0.05399568034557235,0.9883879781420764
Oklahoma97,0.125,0.08028335301062574,0.9879781420765028
Oklahoma97,0.15,0.11133603238866396,0.9867941712204008
Oklahoma97,0.175,0.1493273542600897,0.9832227857978932
Oklahoma97,0.2,0.19065040650406506,0.9795151928986002
Oklahoma97,0.025,0.0,0.9972677595628416
Oklahoma97,0.05,0.008264462809917356,0.994535519125683
Oklahoma97,0.075,0.024253731343283583,0.9927140255009108
Oklahoma97,0.1,0.042735042735042736,0.9904371584699454
Oklahoma97,0.125,0.06148491879350348,0.989071038251366
Oklahoma97,0.15,0.09090909090909093,0.98816029143898
Oklahoma97,0.175,0.12560386473429952,0.9847834568864612
Oklahoma97,0.2,0.16461232604373754,0.9795151928986002
Oklahoma97,0.025,0.013850415512465374,0.994535519125683
Oklahoma97,0.05,0.013850415512465374,0.9959016393442623
Oklahoma97,0.075,0.024253731343283583,0.9963570127504554
Oklahoma97,0.1,0.04946236559139785,0.994535519125683
Oklahoma97,0.125,0.06643356643356642,0.9923497267759562
Oklahoma97,0.15,0.10075187969924812,0.9895264116575592
Oklahoma97,0.175,0.14164810690423166,0.9847834568864612
Oklahoma97,0.2,0.18727199027158486,0.9819050870604302
Oklahoma97,0.025,0.0,0.994535519125683
Oklahoma97,0.05,0.013850415512465374,0.994535519125683
Oklahoma97,0.075,0.0348727615457116,0.9927140255009108
Oklahoma97,0.1,0.054755043227665716,0.9938524590163934
Oklahoma97,0.125,0.08092144122858831,0.9923497267759562
Oklahoma97,0.15,0.10909090909090907,0.989071038251366
Oklahoma97,0.175,0.145218945487042,0.9847834568864612
Oklahoma97,0.2,0.18823529411764706,0.9812222601570502
Oklahoma97,0.025,0.0027397260273972607,0.9972677595628416
Oklahoma97,0.05,0.012448132780082987,0.9986338797814208
Oklahoma97,0.075,0.03878902554399243,0.9963570127504554
Oklahoma97,0.1,0.05021520803443329,0.994535519125683
Oklahoma97,0.125,0.0745742806811509,0.992896174863388
Oklahoma97,0.15,0.10185649774209736,0.9886156648451728
Oklahoma97,0.175,0.14063195371606588,0.9871244635193132
Oklahoma97,0.2,0.1848705501618123,0.9836121543188802
Oklahoma97,0.025,0.0,0.9972677595628416
Oklahoma97,0.05,0.005494505494505495,0.994535519125683
Oklahoma97,0.075,0.021395348837209303,0.994535519125683
Oklahoma97,0.1,0.042735042735042736,0.9924863387978142
Oklahoma97,0.125,0.07773851590106008,0.9885245901639343
Oklahoma97,0.15,0.11528694768918232,0.9849726775956285
Oklahoma97,0.175,0.15242805755395686,0.9851736246586033
Oklahoma97,0.2,0.2048539695598519,0.9832707408671899
Oklahoma97,0.025,0.013850415512465374,0.9972677595628416
Oklahoma97,0.05,0.02808988764044944,0.993169398907104
Oklahoma97,0.075,0.0348727615457116,0.9918032786885246
Oklahoma97,0.1,0.05703971119133574,0.985655737704918
Oklahoma97,0.125,0.07710417892878163,0.9825136612021858
Oklahoma97,0.15,0.11472081218274112,0.9813296903460836
Oklahoma97,0.175,0.15606675687866484,0.9765899336714788
Oklahoma97,0.2,0.2048539695598519,0.9720040969614204
Oklahoma97,0.025,0.005494505494505495,0.9972677595628416
Oklahoma97,0.05,0.01949860724233984,0.993169398907104
Oklahoma97,0.075,0.036827195467422094,0.9908925318761383
Oklahoma97,0.1,0.06163886874546772,0.9911202185792348
Oklahoma97,0.125,0.08928571428571429,0.9885245901639343
Oklahoma97,0.15,0.12442396313364056,0.9845173041894352
Oklahoma97,0.175,0.17192501143118427,0.9808817791650408
Oklahoma97,0.2,0.21434494195688225,0.9767838852850802
Oklahoma97,0.025,0.0,0.9918032786885246
Oklahoma97,0.05,0.011049723756906077,0.9918032786885246
Oklahoma97,0.075,0.01855287569573284,0.9927140255009108
Oklahoma97,0.1,0.03244005641748942,0.9918032786885246
Oklahoma97,0.125,0.05172413793103448,0.9885245901639343
Oklahoma97,0.15,0.0887456618740704,0.9854280510018216
Oklahoma97,0.175,0.13206713780918727,0.9836129535700352
Oklahoma97,0.2,0.17630522088353415,0.9805394332536702
Oklahoma97,0.025,0.008264462809917356,0.994535519125683
Oklahoma97,0.05,0.008264462809917356,0.993169398907104
Oklahoma97,0.075,0.025210084033613446,0.9936247723132968
Oklahoma97,0.1,0.044967880085653104,0.9918032786885246
Oklahoma97,0.125,0.07017543859649122,0.989617486338798
Oklahoma97,0.15,0.09964947421131698,0.9872495446265938
Oklahoma97,0.175,0.13759431868619618,0.9843932891143192
Oklahoma97,0.2,0.17867203219315894,0.9805394332536702
Oklahoma97,0.025,0.0027397260273972607,0.994535519125683
Oklahoma97,0.05,0.013850415512465374,0.989071038251366
Oklahoma97,0.075,0.035849056603773584,0.989071038251366
Oklahoma97,0.1,0.06010137581462707,0.9877049180327868
Oklahoma97,0.125,0.08284023668639054,0.9863387978142076
Oklahoma97,0.15,0.12442396313364056,0.9849726775956285
Oklahoma97,0.175,0.1628856624319419,0.9828326180257512
Oklahoma97,0.2,0.19599836668027767,0.9801980198019802
Oklahoma97,0.025,0.0027397260273972603,0.9972677595628415
Oklahoma97,0.05,0.0223463687150838,0.994535519125683
Oklahoma97,0.075,0.042735042735042736,0.9954462659380692
Oklahoma97,0.1,0.06395348837209303,0.9918032786885246
Oklahoma97,0.125,0.10042092603728202,0.9890710382513661
Oklahoma97,0.15,0.14077922077922078,0.9845173041894353
Oklahoma97,0.175,0.1876737720111214,0.9793211080764729
Oklahoma97,0.2,0.23326315789473684,0.9733697507681802
