dataset,ratio,div,recall
UNC28,0.05,0.4988505747126437,0.99079754601227
UNC28,0.075,0.5515055467511886,0.9887640449438202
UNC28,0.1,0.5875912408759124,0.98544061302682
UNC28,0.125,0.632,0.9810049019607844
UNC28,0.15,0.6635514018691588,0.9754851889683348
UNC28,0.175,0.6769456681350955,0.9706654991243432
UNC28,0.2,0.7020860495436767,0.9639984680199156
UNC28,0.025,0.4424778761061947,0.99079754601227
UNC28,0.05,0.4954128440366973,0.9923312883435584
UNC28,0.075,0.5589171974522293,0.9897854954034728
UNC28,0.1,0.5799031476997578,0.9846743295019156
UNC28,0.125,0.6126482213438735,0.9785539215686274
UNC28,0.15,0.6523206751054852,0.973953013278856
UNC28,0.175,0.6683710737764792,0.9684763572679508
UNC28,0.2,0.7043080939947781,0.9632324779777864
UNC28,0.025,0.5162790697674419,0.9938650306748468
UNC28,0.05,0.63,0.9923312883435584
UNC28,0.075,0.6509274873524452,0.9897854954034728
UNC28,0.1,0.6477272727272727,0.9869731800766284
UNC28,0.125,0.6619144602851323,0.9840686274509804
UNC28,0.15,0.6649659863945578,0.9780388151174668
UNC28,0.175,0.6868537666174298,0.9719789842381786
UNC28,0.2,0.6987638256343527,0.9647644580620452
UNC28,0.025,0.5023041474654378,1.0
UNC28,0.05,0.5305164319248826,0.9953987730061352
UNC28,0.075,0.5490506329113924,0.9897854954034728
UNC28,0.1,0.5953545232273839,0.9877394636015324
UNC28,0.125,0.6015701668302257,0.9852941176470588
UNC28,0.15,0.6371237458193979,0.9790602655771196
UNC28,0.175,0.6419841840402588,0.9719789842381786
UNC28,0.2,0.6780205655526992,0.9670624281884336
UNC28,0.025,0.4954128440366973,0.99079754601227
UNC28,0.05,0.5127610208816705,0.9861963190184048
UNC28,0.075,0.5344827586206896,0.9877425944841676
UNC28,0.1,0.5263157894736842,0.98544061302682
UNC28,0.125,0.5439924314096499,0.9803921568627452
UNC28,0.15,0.5803066989507667,0.9785495403472932
UNC28,0.175,0.6152758132956153,0.9732924693520141
UNC28,0.2,0.6390458254865035,0.966296438146304
UNC28,0.025,0.4618834080717489,0.9785276073619632
UNC28,0.05,0.5598086124401914,0.9831288343558282
UNC28,0.075,0.5739549839228296,0.9836567926455568
UNC28,0.1,0.5875912408759124,0.9823754789272032
UNC28,0.125,0.6031434184675835,0.9803921568627452
UNC28,0.15,0.6357560568086884,0.9775280898876404
UNC28,0.175,0.6671532846715329,0.9711033274956216
UNC28,0.2,0.6790996784565917,0.9643814630409804
UNC28,0.025,0.4235807860262009,0.98159509202454
UNC28,0.05,0.5341176470588235,0.9892638036809815
UNC28,0.075,0.5225505443234837,0.9836567926455568
UNC28,0.1,0.5352941176470588,0.9816091954022989
UNC28,0.125,0.5662188099808061,0.9761029411764706
UNC28,0.15,0.608874281018899,0.9719101123595506
UNC28,0.175,0.6291012838801712,0.9654115586690016
UNC28,0.2,0.6493998736576121,0.9548065875143624
UNC28,0.025,0.6891191709844561,0.9938650306748468
UNC28,0.05,0.6259351620947631,0.9877300613496932
UNC28,0.075,0.6208609271523179,0.9836567926455568
UNC28,0.1,0.6031941031941032,0.9831417624521072
UNC28,0.125,0.6062992125984252,0.9822303921568628
UNC28,0.15,0.6208609271523179,0.9775280898876404
UNC28,0.175,0.6538740043446778,0.973292469352014
UNC28,0.2,0.6921581335061568,0.9620834929145922
UNC28,0.025,0.4361233480176212,1.0
UNC28,0.05,0.5023041474654378,0.9938650306748468
UNC28,0.075,0.5689102564102564,0.9918283963227784
UNC28,0.1,0.5818181818181818,0.992337164750958
UNC28,0.125,0.579864472410455,0.9877450980392156
UNC28,0.15,0.6101973684210527,0.9826353421859041
UNC28,0.175,0.6538740043446778,0.9746059544658494
UNC28,0.2,0.6588310038119439,0.966296438146304
UNC28,0.025,0.4488888888888889,0.9938650306748467
UNC28,0.05,0.5269320843091335,0.9923312883435583
UNC28,0.075,0.5273010920436817,0.9897854954034729
UNC28,0.1,0.5799031476997578,0.9846743295019157
UNC28,0.125,0.5829291949563531,0.9797794117647058
UNC28,0.15,0.6208609271523179,0.975485188968335
UNC28,0.175,0.6467195385724586,0.9671628721541156
UNC28,0.2,0.6758664955070603,0.9590195327460743
