dataset,T2,auc,ap,dp,true,false,fnr,tnr
1684,20,0.9314811121670492,0.9216585557874702,0.011834901460702759,0.006605837319145471,0.008695762236327639,0.03966112591640138,0.040763229944891136
1684,20,0.9472726958227596,0.9386788272464028,0.005176679721203408,0.0011161546035084726,0.00826260923431598,0.042597441336338325,0.0351299494156637
1684,20,0.9459362109560217,0.9405828336877652,0.004860905295251355,0.006791979662517467,0.016719033065900817,0.06771741130594616,0.06401638140612508
1684,20,0.93944863767066,0.9306410126122192,0.02395954770239838,0.0016568152595640448,0.009292675207288662,0.06279414689115738,0.04124102093840746
1684,20,0.9419313351010682,0.932363625181472,0.03264144890926892,0.001836491606886969,0.016249886888704254,0.03391934339852062,0.06023982878150185
1684,20,0.9460995195369972,0.9328061192683141,0.0307616070231924,0.0046180554494378145,0.002334127390707702,0.052382373915783535,0.03155118520448033
1684,20,0.9522518269193592,0.946612238922136,0.012167131800299418,0.005123102940599231,0.002195822265077351,0.051831051831051834,0.029085829964496462
1684,20,0.946322351806366,0.937375039187102,0.01946043111632761,0.005415621971384664,0.008267098348496834,0.0486790998927452,0.046783913821698934
1684,20,0.9447202997144896,0.937674959108116,0.017978293121779017,0.003122887287175695,0.004223001103526815,0.040542266957361295,0.03708989501312336
1684,20,0.9473393420037812,0.939093810716034,0.02525125458275524,0.002459456224576291,0.01528790724035811,0.036938104669369635,0.08418717521325621
1684,20,0.9519791372015932,0.9427132994089468,0.024188019439240958,0.006495985797666411,0.013413877445121923,0.0582577493226208,0.06165051820307179
1684,20,0.9446160060724336,0.9302606002298452,0.011139399530414594,0.004290153434603466,0.007610653083727594,0.058671744645482235,0.05255688769268412
1684,20,0.9500123117372572,0.9396214977961548,0.02879261311593096,0.0017802154743307196,0.003070858848841295,0.04672282289833208,0.04866441760784889
1684,20,0.9448184883628644,0.9387440276396392,0.013585284554272959,0.0013408064627951812,0.007356596367083437,0.023938940275853787,0.03982650083507179
1684,20,0.9464973616252308,0.9427046469483245,0.0145372501376368,0.0037731216205888775,0.013482054016330385,0.03928417985168027,0.05401584921824802
1684,20,0.94516494675428,0.9383475673400464,0.019145502033180804,0.012037290341508943,0.005164906938581309,0.04428141832721985,0.038224507620152136
1684,20,0.9496302408827008,0.9443310400497786,0.014162344630381818,0.002682133141416431,0.005841053318444621,0.059322726786736286,0.04485318241469816
1684,20,0.9477880590393588,0.9419305657001624,0.006965003977133902,0.012394730586599434,0.007388410498878475,0.08932776740541334,0.03868876907192841
1684,20,0.9543824697141438,0.95018501992187,0.020703379933562714,0.006937672240813516,0.018468435136175108,0.0339690976996964,0.07144739664735987
1684,20,0.9488157329757164,0.9414110736572175,0.01741545752059695,0.016249044944434073,0.010603122021257216,0.06881276333538729,0.05182811911044101
1684,10,0.9323643012529482,0.9217634797036716,0.011969068104002013,0.007216241566070676,0.00837445821024898,0.038308947810487666,0.035130612758600056
1684,10,0.9466683014483079,0.9390397395032531,0.006551626753028121,0.0020932019950864558,0.0067092158471569715,0.0389392483096911,0.03485496762807687
1684,10,0.9474466881426776,0.9429346262607178,0.006144089286520199,0.004479410826691628,0.016991043455113042,0.06043952635855576,0.062466347958034886
1684,10,0.9404269629080936,0.9318317423687221,0.025358267456560904,0.0007996042508860683,0.010479715163335936,0.07294428609306641,0.040770288858321874
1684,10,0.9417339403053716,0.9324160904462344,0.03296689900595471,0.0022306381378759963,0.016609339983579198,0.03378424021346303,0.05153758717090105
1684,10,0.9465024491199652,0.9334791405633752,0.03130153721807102,0.005276512169774132,0.001994088148150507,0.06832014859777437,0.03044819614482938
1684,10,0.9518916322921608,0.9466911159904868,0.012897705277123505,0.005004720751749168,0.000787978722845384,0.04464808036236608,0.03066923457154753
1684,10,0.9470870022649528,0.9379695727792888,0.02010049361668469,0.006241912925970117,0.008424486705524425,0.04612997615403039,0.0526709033285712
1684,10,0.945925018467606,0.9390376252571074,0.019299925284171075,0.0021540217224742565,0.005416542457739443,0.0372332070445278,0.03096702755905512
1684,10,0.9483817696748684,0.9400736459460708,0.02576109431091508,0.003198559850180189,0.014984259905883347,0.03343737362215747,0.0650717390593849
1684,10,0.9520483271299814,0.9432053145917714,0.02370301300851798,0.006565065131867546,0.012533025104457488,0.06182510539915681,0.062260048557888
1684,10,0.9447289484555385,0.9305808576189192,0.01159985493853058,0.003726424498992844,0.007356857444952116,0.0423709364280885,0.04019248022184161
1684,10,0.950985040730483,0.9406637905177472,0.03060217369344205,0.002999793322556368,0.0013074382052130238,0.047573547900427456,0.04128978633941231
1684,10,0.944471012472502,0.9384984497971856,0.015362684753822443,0.0001452735216649255,0.00504925758403476,0.024723721727678758,0.031534921091323616
1684,10,0.9475860854984016,0.943577050160884,0.0152732722224352,0.005223566503435735,0.014003240357948407,0.02895617863955151,0.050283021754428905
1684,10,0.9449507632259602,0.9384387023476816,0.02025273698387422,0.012253681634976666,0.00711725431010328,0.0456486897326592,0.040278093110875206
1684,10,0.9500387667098764,0.944625262330664,0.015901028102812086,0.0014629376693600453,0.003747350683982304,0.04092024964308251,0.04872457349081365
1684,10,0.9475820155026138,0.9420227613737736,0.00896111831191346,0.010195251506421758,0.009018439589434823,0.0759133021955642,0.04113472852718007
1684,10,0.9558822631618576,0.9512793627750002,0.02365427387704723,0.009684278188139136,0.021282638869734825,0.037426439000125385,0.08068401213569919
1684,10,0.9487078780873464,0.9415047186279686,0.01926197919983633,0.0180529140098162,0.0088150530873466,0.070715439572335,0.04045870958226126
