dataset,auc,ap,dp,true,false,fnr,tnr
1684,0.892501236261221,0.840001298237835,0.008599443211466,0.001392286717136,0.007612392703276,0.091410972966807,0.059311665294619
1684,0.912728860950629,0.867389657432277,0.006195133261371,0.00786288375255,0.01914166174534,0.077547063502585,0.046720226552159
1684,0.905315363623599,0.856128136346267,0.005203691484527,0.00143367488772,0.055047172638346,0.032334898492113,0.065713260128245
1684,0.896527479594058,0.842918364157131,0.048383001528882,0.007468619897946,0.037737402838215,0.067840216094392,0.051387233175404
1684,0.89691616419177,0.842409325034476,0.038991013464545,0.006175913006552,0.021241074130075,0.064891748572973,0.049274471854423
1684,0.899276507373815,0.845094398860248,0.02941198927643,0.009215680779592,0.00701882608508,0.106543443289053,0.042475253972389
1684,0.905617815185561,0.853745406498097,0.020127825286305,0.002380872969405,0.002352214177693,0.057685236256665,0.05202878842884
1684,0.90501799955637,0.853592164467344,0.012362177496564,0.003255644838397,0.011849357429984,0.063548988368582,0.041291032398969
1684,0.905649357652915,0.853777138815305,0.019274537094365,0.006382374429426,0.013862154453599,0.084810367829236,0.04165436351706
1684,0.912085292866722,0.862791325219585,0.043502472504479,0.005978313472602,0.036124077216671,0.085813536298309,0.051054841977972
1684,0.913925694086907,0.865315512318144,0.019002869783628,0.002610522307513,0.017368478214061,0.058293318268839,0.047238602498256
1684,0.897678016528253,0.846980110744483,0.001459728184108,0.006243357406564,0.04762899665938,0.041293726752637,0.09205203490743
1684,0.913256179779854,0.866953135323828,0.047525366234793,0.015261015934094,0.00036539044556,0.078627105858688,0.036930197689011
1684,0.902920171102623,0.853277477143738,0.011397248014637,0.00356536401604,0.019921496938383,0.066058305741743,0.04681092302453
1684,0.908977342333451,0.860318581474835,0.024102667969516,0.007779385128896,0.010881536644806,0.036741615244595,0.044061642648064
1684,0.908119336346487,0.8618505265885,0.025660972746253,0.01929941748749,0.004365093685234,0.082242820792439,0.019946778591167
1684,0.905528784027709,0.854685036938716,0.00498341887205,0.002157896905291,0.059679981762955,0.051932805172316,0.073429297900263
1684,0.907359264633161,0.859628967557912,0.000986772497365,0.000814076680452,0.028073990026918,0.039587972468092,0.05100050803848
1684,0.913883213505874,0.866810349857255,0.016608542966178,0.009120847537363,0.003132867671096,0.095179660473463,0.045480269273595
1684,0.909411305634299,0.861977543312521,0.009793030066529,0.005850440185115,0.02442622797925,0.101303978550136,0.047522083285534
