dataset,T2,auc,ap,dp,true,false,fnr,tnr
Oklahoma97,20,0.8225857302296414,0.8144306053406185,0.032644794383871134,0.004970927766684803,0.0019067769784611647,0.03943258259738433,0.013002630741401748
Oklahoma97,20,0.8054993098632577,0.8067619846843804,0.033125400399136584,0.0024663402885213145,0.002676283921700902,0.04917386673653155,0.011601252221858387
Oklahoma97,20,0.7956583416328945,0.7945298273214108,0.02585971211031372,0.004478704258009444,0.0011248679186932787,0.05854253152030023,0.013004745728105914
Oklahoma97,20,0.7987497894923966,0.794980617306828,0.026141527109322257,0.001124473829860998,0.0015381454844230096,0.05016873685827911,0.015203904511626485
Oklahoma97,20,0.8027884399843963,0.8004206705296035,0.02352103688586881,0.0034291540744888762,0.004254707351834844,0.05269700575512695,0.020857614998863124
Oklahoma97,20,0.8119235795536182,0.8105308653449699,0.03193509130284598,0.008906661381633393,0.001726546312679314,0.05687483508560311,0.013816036310880207
Oklahoma97,20,0.8049808704974006,0.802205556182075,0.03442403660762577,0.009673504250446935,0.002845342419390114,0.05927238738242384,0.02397890956557084
Oklahoma97,20,0.8034275383645971,0.8015025805390852,0.0266901417638143,0.0015141115021506696,0.0002532663885151729,0.05495788611101824,0.016465717866093806
Oklahoma97,20,0.8167837108521823,0.81313702291906,0.02846133899979502,0.001738450529906047,0.00045952770038869777,0.05996508947830308,0.009097315813704113
Oklahoma97,20,0.8184142718402374,0.8193100547650038,0.028561833559804205,0.003234025921206037,0.004409454874908187,0.08015130009822576,0.02149021670652566
Oklahoma97,20,0.8137203741841065,0.8125039256074829,0.029462895964816008,0.007061812935330478,0.0034826337333312947,0.07222637444611013,0.017518585301735074
Oklahoma97,20,0.7944889999835715,0.7952426430220212,0.02862857143733425,0.003793881876606213,0.0059312928705506154,0.056809848513130326,0.03759017074540652
Oklahoma97,20,0.7996284903260857,0.7978526147075727,0.027995223408748555,0.005716341875762779,0.0021463257342772303,0.05537882663799859,0.01835274756219694
Oklahoma97,20,0.8157252382500393,0.815370157015666,0.028212963898951407,7.099040079875544e-05,0.00228955551967158,0.0438661597090202,0.014986856513708909
Oklahoma97,20,0.8291943030446853,0.8224311945473377,0.03357807730892278,0.010086251118523614,0.008922034149987114,0.06826152917962268,0.04207867802055404
Oklahoma97,20,0.8092825447738554,0.8069711604315389,0.02847340001479915,0.0007439208570055463,0.002357724915997341,0.04155112900266784,0.01731260154899044
Oklahoma97,20,0.8039342950363056,0.8002106569208752,0.033980699720686784,0.0007005325367145271,0.009117214627959256,0.05317936439360598,0.038084576687583416
Oklahoma97,20,0.8228364373030269,0.824100348218137,0.032457881387511704,0.0011664503924622947,0.0016999499285938135,0.0675623107821052,0.020433790737717856
Oklahoma97,20,0.8085228899408721,0.8080308501132593,0.02864220025164514,0.0011050120815276727,0.005201296144081751,0.05979973645757852,0.027216180795747738
Oklahoma97,20,0.8243351134477246,0.8172642164970294,0.02883673756704137,0.003532073060831083,0.0021200886029986614,0.04151832485665848,0.014829755481369476
Oklahoma97,10,0.8234968498403089,0.8149613105293905,0.03290758714950088,0.005690463630703146,0.0024315643055931326,0.04300986791932397,0.015978945116118342
Oklahoma97,10,0.7924452184672198,0.7943048042269569,0.031933863556454035,0.002548313989458561,0.004270072281745008,0.049604528416103966,0.015116319834230531
Oklahoma97,10,0.8206571533173566,0.8217060596539318,0.03138776434725449,0.003179355201590489,4.030547236187984e-05,0.05203387869985991,0.014670160926704269
Oklahoma97,10,0.8023144750407957,0.8003031142787151,0.02719585964503852,0.002272412176571489,0.0008963316000452025,0.04967020885892889,0.010375331101004548
