dataset,auc,ap,dp,true,false,fnr,tnr
Oklahoma97,0.899219150354297,0.9079232055824584,0.0916758308341234,0.09383713334295232,0.0018228634759183547,0.3657786684554431,0.009880835516665168
Oklahoma97,0.9020302881444672,0.914647319267688,0.09250794815796458,0.08645756383003066,0.006871668497679125,0.35771851015305456,0.02690971665384957
Oklahoma97,0.8998004879282341,0.9096880352064334,0.08921392717851594,0.08758789332359439,0.0002968946032067055,0.3836058291670415,0.014679115975493612
Oklahoma97,0.9000494794264212,0.9090588839109984,0.08276518748280304,0.08400131444144396,0.0014323360098564305,0.38159920043655576,0.017545686530613464
Oklahoma97,0.9068716040585214,0.9192532139858776,0.08166587327827685,0.07910113295300808,0.005006853242919981,0.3758929207509969,0.01970999858562096
Oklahoma97,0.9014609968920304,0.9123435344083112,0.08594955018478123,0.08498149097176806,0.0020657810882208686,0.36267853863187416,0.015012251565477813
Oklahoma97,0.8988197476653679,0.9096727693345532,0.09322371208740134,0.09343047375095474,0.00473032398921546,0.3709002338432438,0.02355588926328217
Oklahoma97,0.9004027107654526,0.9116956084134504,0.08654714742768742,0.08174611950088524,0.005645178058274385,0.3638362818628485,0.03158476548514143
Oklahoma97,0.8989479775876509,0.9108061443530636,0.08421703592664978,0.08252283776622375,0.0004834530479702655,0.3663952475400298,0.01864829649662116
Oklahoma97,0.9006235724246572,0.9123042060985164,0.08770615988883354,0.09158300977658056,0.0009445226061421,0.3887299877269995,0.02246967237949921
Oklahoma97,0.8999929493588867,0.9123303668251322,0.08609569549701451,0.09151559223119887,0.0010570043482769844,0.3789122709496496,0.009030503122276986
Oklahoma97,0.9038628767596604,0.916294472020624,0.08942448048332699,0.07985178911556584,0.008812997742914847,0.3553376681767201,0.038028017731684086
Oklahoma97,0.9052103864875778,0.9176705891285336,0.08981322799508358,0.08097155965534343,0.002904493205396044,0.3664566481662576,0.030266543282336567
Oklahoma97,0.9017283096144806,0.9140633344609018,0.08591447967621685,0.08476837505368147,0.00010157079572791068,0.35441099449927804,0.011277290263675344
Oklahoma97,0.8941518074078872,0.9047479691203462,0.0833273920107709,0.0864154282308078,0.007795276188662463,0.3588066977024057,0.034325604170523286
Oklahoma97,0.9029770245880526,0.913119456569814,0.08388441642960456,0.07987983698616316,0.002966436121348949,0.33622846271531226,0.01920049892352476
Oklahoma97,0.9057084906930698,0.9154371845122834,0.09450553388230022,0.08357965062312184,0.011797212699450058,0.3706195769353451,0.0425220066055254
Oklahoma97,0.9043843929723402,0.9154481441453458,0.08833814841246522,0.08524288424318667,0.003441107786296785,0.3693839227160978,0.02166887506925811
Oklahoma97,0.9032340811544268,0.9139919264673556,0.08795594677313523,0.08731493913911287,0.006732107543978128,0.3611239055934607,0.02053144330627434
Oklahoma97,0.8961230499294478,0.9066194296588512,0.08148488967489712,0.08695443311276192,0.00480772737430099,0.3329702173457531,0.024808842527065535
