dataset,auc,ap,dp,true,false,fnr,tnr
Oklahoma97,0.868751262089934,0.844778378167088,0.078898478957992,0.040890736882626,0.006906885261938,0.35186802015135,0.018020377166937
Oklahoma97,0.859379727446941,0.835650052501393,0.079135830581774,0.036857079771798,0.000412436279468,0.319731595173139,0.019470677436511
Oklahoma97,0.863976182296573,0.837020224124325,0.079414150036333,0.034345576337954,0.000857027275273,0.318479539116018,0.020346094725611
Oklahoma97,0.861951766267648,0.837074279692078,0.06303176237948,0.035324425329292,0.019110831213585,0.317326182329181,0.026891928482929
Oklahoma97,0.867596139202443,0.842069099641969,0.068844361725396,0.029228846857699,0.01497211731261,0.333577382293309,0.027912501857492
Oklahoma97,0.871027550664525,0.849420068059381,0.072204706058431,0.033718224746578,0.009214465841517,0.32619181479221,0.022245411723462
Oklahoma97,0.864545352339893,0.84132674925095,0.069080453819127,0.037535268778553,0.022193639552498,0.346512783312864,0.02829946136907
Oklahoma97,0.864537632251501,0.840814089749326,0.08189641430782,0.034954045419144,0.011506036729636,0.314856624753885,0.023260159326889
Oklahoma97,0.864355044702016,0.839867672189233,0.07217356740208,0.023346958551086,0.002813088974107,0.319738749714704,0.016596585563939
Oklahoma97,0.863389231808129,0.838375024388185,0.066151401034067,0.038068852989709,0.022248809113996,0.324305406463052,0.028220645830589
Oklahoma97,0.859177476049125,0.834957787991777,0.066561677158381,0.036662712708945,0.017026943495863,0.334032251018975,0.022927578300835
Oklahoma97,0.86409341016052,0.842413159413138,0.0767962422411,0.027872375183713,0.00264267726252,0.30310237253142,0.018541812895377
Oklahoma97,0.873517185933052,0.855807528926323,0.078944899220181,0.038617541854312,0.009950478512579,0.320155704580632,0.020286559658965
Oklahoma97,0.865393536447367,0.841487234494981,0.065187547608932,0.032105020032236,0.019498313300202,0.318432771686763,0.025188424780768
Oklahoma97,0.867259205827794,0.841899779579441,0.060922159808584,0.028043778314606,0.03722888598831,0.351541678202381,0.045353097139035
Oklahoma97,0.861518042750978,0.833990249334132,0.074423687286777,0.036442673508599,0.009392578037014,0.326070792698154,0.018458902219046
Oklahoma97,0.863270213778758,0.838638549976552,0.08032354553791,0.030506077107833,0.004367208213885,0.33353685766083,0.032688696524079
Oklahoma97,0.86394901280675,0.8383287441625,0.074945873003897,0.031353528895682,0.001341829344891,0.327783156433437,0.023752436527944
Oklahoma97,0.866137965550467,0.84040688623881,0.069114915156599,0.028878894732276,0.004597613496616,0.309689608249691,0.017188142178688
Oklahoma97,0.864501819619239,0.842827615555775,0.067386417017386,0.035266057873048,6.86581793974917E-05,0.313749833323809,0.016802430772839
