dataset,alpha,auc,ap,dp,true,false,fnr,tnr
Oklahoma97,1.0,0.8945791161651209,0.9040804411633488,0.08989366946503427,0.08942995806173194,0.0011450733781226945,0.37319910829595226,0.017089949301628438
Oklahoma97,1.0,0.8881819786694704,0.8971662153604274,0.09164489324325248,0.09109535062101633,0.006586245937941151,0.3678398100427453,0.01586476844965184
Oklahoma97,1.0,0.8841254824658984,0.8917607439605775,0.10514784383871828,0.09637408935195516,0.0277842247834281,0.35951459407515673,0.05947158781044067
Oklahoma97,1.0,0.8930835728099158,0.9007053326664463,0.09506910795445696,0.093470485194532,0.012849979023291273,0.3643405810203996,0.03186947221813627
Oklahoma97,1.0,0.8805925537062216,0.8887275845664835,0.0894190102021357,0.0948027489530638,0.007687100865523734,0.3508113136704859,0.027012995925113997
Oklahoma97,1.0,0.8743679061082104,0.8731342110456276,0.07992096706513384,0.08722340009326565,0.00692710693557292,0.3087285940148961,0.034541960643180776
Oklahoma97,5.0,0.8326410707695469,0.793052762225523,0.06831023512098199,0.06927031676438906,0.002336616063494925,0.2141704715093572,0.028943750836514886
Oklahoma97,5.0,0.8110332612922283,0.7681877350912012,0.08790976143548196,0.08576687212179253,0.027383889071238187,0.2704203853579911,0.06251912308666571
Oklahoma97,5.0,0.7998291193864865,0.7547820284914254,0.06732364021884625,0.07264887887404986,0.007638565575848816,0.23168649671623376,0.0204613909787734
Oklahoma97,5.0,0.7868242761871691,0.7149994546067668,0.07375799452268833,0.0581521646159879,0.032129514585109334,0.18382612405033047,0.04678887038146267
Oklahoma97,5.0,0.8097886674286432,0.7494953585631972,0.07826575962275943,0.05350688229721332,0.03784958608206992,0.15137918950714627,0.08910699866976755
Oklahoma97,5.0,0.8519368909253513,0.8320850541042185,0.09368903566367298,0.09529055546150228,0.01884434471825513,0.3316078241405003,0.04977178895233265
Oklahoma97,5.0,0.8161872874050357,0.7767747236562912,0.10777607510038748,0.11607683567116335,0.031034789223016564,0.383908828441815,0.052442281975933064
Oklahoma97,5.0,0.8304044175762992,0.7871120965500886,0.08542444260352441,0.07937447281915512,0.02116800887806719,0.2437502756144567,0.040993331543143566
Oklahoma97,5.0,0.7694836709781123,0.6915034784149606,0.1216320150308884,0.0934651890133934,0.08568235263404253,0.2956912347587927,0.12025542779209765
Oklahoma97,5.0,0.7306429179591988,0.6584680219814318,0.06518100325294869,0.06353274160531769,0.01958777519473629,0.2329494334074509,0.04967393994491895
Oklahoma97,5.0,0.8297765077299996,0.7879677019452704,0.09136888161791468,0.09394420387408496,0.025603572138803845,0.3150237060782317,0.04605587920303505
Oklahoma97,5.0,0.7667442423664691,0.7213964274873564,0.1098754207260244,0.1001977558717762,0.06251156541021269,0.3136488322379901,0.10148942565962356
Oklahoma97,5.0,0.8093718758932762,0.7517758854794258,0.06875881001923154,0.05272231509186753,0.011206727217351869,0.1546039466100213,0.031391373214766184
Oklahoma97,5.0,0.7908051472253491,0.7246115663435078,0.08504275882841664,0.0749686124818735,0.03238726521489055,0.21414885418505306,0.05759793463763663
Oklahoma97,5.0,0.8234791719567454,0.7991288061813624,0.0952683444530572,0.10240877121432304,0.022040191415161246,0.2784841991387022,0.04166193919778336
Oklahoma97,5.0,0.8053177199580452,0.7524759171767011,0.13727387258400275,0.10812560732892644,0.10092855513078773,0.2784509561305746,0.16980915876779018
Oklahoma97,5.0,0.8206352331146888,0.7841308355159055,0.0944851045126844,0.08960945001126552,0.03183215466598153,0.27189208177042745,0.06891851867325477
Oklahoma97,5.0,0.7333484546369005,0.6612795826921489,0.07524711967074538,0.042280066253199695,0.04785309002654626,0.13085380974930133,0.06298616806992974
Oklahoma97,5.0,0.7980482963881417,0.7233555682382327,0.08958420518350085,0.08181469399271589,0.03705740878883396,0.22323477994686106,0.08007311373355183
Oklahoma97,5.0,0.8231516835694647,0.7760459396122501,0.05392556106913636,0.052601943145819285,0.003295839718187225,0.18979013086462085,0.02317479416048723
Oklahoma97,10.0,0.5670273831348777,0.5290292968879324,0.03946140050622038,0.004026062131887189,0.04570941328056409,0.07923034339434461,0.07102240807960354
Oklahoma97,10.0,0.7614662006791477,0.7001736313870444,0.047530381257382084,0.0014192506439484466,0.019912542455233214,0.08964402268764457,0.03128816692114389
Oklahoma97,10.0,0.7370361114966493,0.6573762591659165,0.05248059689566286,0.03213694552500086,0.02067614472492656,0.13049042823910445,0.03788254289356432
Oklahoma97,10.0,0.7278986503066432,0.6430961377031947,0.04912859419936415,0.04370883152192589,0.011853932446460252,0.12246576936956352,0.028773917408807824
Oklahoma97,10.0,0.5774564766497442,0.5330134216159806,0.02720409617877152,0.006602530088713065,0.013689494296938498,0.06569273321357122,0.04911610261588509
Oklahoma97,10.0,0.7779511254630165,0.7199470287231129,0.11276105339362105,0.1010331060676456,0.06218249806922287,0.2569180637104917,0.08927016473413918
Oklahoma97,10.0,0.7953691739742246,0.7338658486960514,0.06250726617547596,0.05602938742029097,0.007401898358597898,0.2438537038887241,0.04085234636753138
Oklahoma97,10.0,0.7117281699442825,0.6360680017931446,0.08108895123290699,0.08611220639438348,0.03441988536716335,0.2449183963139625,0.07509823666308629
Oklahoma97,10.0,0.8100443067807233,0.7594875435885359,0.07107027523398703,0.06724802935137636,0.011064068424365615,0.2239805709766909,0.04271312179014576
Oklahoma97,10.0,0.7779605984217193,0.7181229538075726,0.1022706332364114,0.09500906540201934,0.05111495265127298,0.2997830908145833,0.0859624332391049
Oklahoma97,10.0,0.6930324747755902,0.6177424710323464,0.1070902072026184,0.08130969982742804,0.0871897303719335,0.16889134662140984,0.12364176587554662
Oklahoma97,10.0,0.7194213405881279,0.6482790728429799,0.06933217753786526,0.06469326224061,0.024606502580406118,0.1975458250621253,0.05804911196127852
Oklahoma97,10.0,0.6873881391359083,0.6328543905142,0.07851713561916387,0.0651815273715387,0.0489420598832636,0.12827413526238415,0.09999503060208956
Oklahoma97,10.0,0.7871665241154209,0.7103310913892629,0.10859697565262627,0.09514495910223064,0.05636811770359027,0.2437626172749484,0.09377847631039514
Oklahoma97,10.0,0.7584813236050523,0.6993961200539986,0.05848037727091705,0.043856001877882175,0.020059320376073532,0.12585645677267787,0.04001521249723816
Oklahoma97,10.0,0.7758496577306271,0.7019173972206136,0.05715858307993976,0.04871866891852605,0.00829863935596291,0.17074784354388595,0.047906803950209104
Oklahoma97,10.0,0.7402846743434555,0.6878907281268865,0.05963042826570461,0.03909061256962364,0.006329357862159905,0.06582438658047636,0.019807175955111674
Oklahoma97,10.0,0.7282560120794397,0.6380869030106544,0.05165944994397799,0.03369218551179863,0.007955135127973844,0.11095786459731276,0.02213246059411152
Oklahoma97,10.0,0.6351428791629574,0.5637307126024402,0.07859596344051874,0.07677448841845429,0.04680744653378872,0.2329363456566917,0.07847135458818141
Oklahoma97,10.0,0.7945880837750426,0.7357279343286943,0.06440970285983623,0.06880426295343688,0.010616195667298824,0.19331437986932587,0.038919715204237024
Oklahoma97,20.0,0.6479621884988621,0.5782305313112643,0.08398135442414216,0.0736754971029883,0.05259515236800447,0.3093758559491213,0.0933530471075945
Oklahoma97,20.0,0.7116629501154181,0.6594280258773011,0.0344946904430692,0.009300057393570172,0.010420760100463423,0.05064444659608035,0.03640916356681837
Oklahoma97,20.0,0.508288064991359,0.4707841875458815,0.015981909382676636,0.001724208922604102,0.011427909880334756,0.05660970413973036,0.05012588559835621
