dataset,alpha,auc,ap,dp,true,false,fnr,tnr
UNC28,1.0,0.8620697690266363,0.8670715441653339,0.02940150663908935,0.015319139142586284,0.012748856179994958,0.07485764910026295,0.03872825726035095
UNC28,1.0,0.8622883551398499,0.8667068835736824,0.027426765066226936,0.023437019777509,0.0011855302761977007,0.11309861411892524,0.01800625846736166
UNC28,1.0,0.868864828694192,0.8778683912954934,0.03826482733607272,0.021127446548349464,0.02245620581930048,0.10199967080065928,0.057710304864143525
UNC28,1.0,0.860716365475418,0.8674928639573074,0.022556793820128856,0.02392930124258477,0.00984077525973982,0.1034978122598176,0.03502721203108914
UNC28,1.0,0.8547499618911597,0.8532884829740912,0.04250185599148516,0.02591811362129927,0.03171584937065045,0.0975686173523037,0.0619251742606613
UNC28,1.0,0.8658342607110247,0.8771065388715226,0.022288938788830703,0.02322761509028044,0.0013534168128635365,0.08510325631907409,0.01776231837878216
UNC28,1.0,0.8595832141258772,0.8621797392693189,0.02383637316484161,0.016191756845857712,0.007151353014180306,0.07918327052914037,0.03042277335374832
UNC28,1.0,0.8420662768113525,0.8488930445837157,0.03111479830791623,0.032804012551497064,0.009180862296365349,0.12102198458732186,0.03653165159380865
UNC28,1.0,0.8631090562373847,0.8703883600402285,0.026012834698144367,0.01938186266665028,0.008032936366145868,0.09364001070820337,0.02409219726292897
UNC28,1.0,0.8290241597845481,0.8188294298825524,0.02614545030289233,0.017863829724951402,0.011190975332200977,0.06642854413854439,0.02221251804201518
UNC28,1.0,0.8546212976229095,0.8593298445790879,0.0416676717078609,0.02697884919420576,0.03485979382738229,0.10418755830679392,0.08723526999193247
UNC28,1.0,0.8487249870842946,0.8494836275743968,0.0383028708458147,0.02844234072142184,0.026420359062125517,0.10778642599715316,0.06556895030873272
UNC28,1.0,0.8545210741887135,0.8558604305649992,0.02891893225952168,0.013429029497347887,0.01779825819649135,0.06903221764233462,0.038480314109073
UNC28,1.0,0.865135395265643,0.8737891969331848,0.033886692631834206,0.0215996184865877,0.014977593351051269,0.10101330777601407,0.033021657368202284
UNC28,1.0,0.8693491676503629,0.8762456825620202,0.03685525693795669,0.02747912414796994,0.01262735628736467,0.11198099574678433,0.035606367554954575
UNC28,1.0,0.8665748370330821,0.8748941766456949,0.02200981165720372,0.013021521436833931,0.002549386651770073,0.08067274355015562,0.013924309215577713
UNC28,1.0,0.8747179851949971,0.8852579296996727,0.039205661996803184,0.03111631088232028,0.016272754370083947,0.11134868421052632,0.044083225211658736
UNC28,1.0,0.8540323470840542,0.8556722539096628,0.04141444899918514,0.02194824941518601,0.034265305971440965,0.1096902275343422,0.07377189556229907
UNC28,1.0,0.8677612914804401,0.8769577483625277,0.02343347663212664,0.01899139739431106,0.006203538058623078,0.10731823804506567,0.0227829298552778
UNC28,1.0,0.8651330486621732,0.8739073799581896,0.03838689658001288,0.02047862961666168,0.030687875656829414,0.08772194157159216,0.06661235753246147
UNC28,5.0,0.7751525738110041,0.7164087010999036,0.03306479661486626,0.01658957197455205,0.025745700889235473,0.07840898165119413,0.050835227708104516
UNC28,5.0,0.7427698683161224,0.6816464115196613,0.045900298453516564,0.023253667974476987,0.0479689395024376,0.05680145209704976,0.0822696438801221
UNC28,5.0,0.792511490847871,0.7409429499939578,0.029690808534652374,0.019556778204684055,0.014076209360368503,0.07692590939405036,0.04685501192263866
UNC28,5.0,0.7420041598709028,0.6892405989339168,0.02202567500099236,0.03203546029032925,0.00618084633622603,0.09581878370118437,0.02218051450003913
UNC28,5.0,0.7441486151848147,0.6646760535766421,0.032130389695566766,0.011999112800049602,0.031162673960198624,0.05579776390051289,0.0526969539421515
UNC28,5.0,0.7991801155204727,0.7691575757898603,0.03150770930906485,0.02660884525601811,0.018421349479429,0.08172257779111029,0.039074019241666126
UNC28,5.0,0.6773103672190384,0.6623836249589586,0.019951742024774025,0.032147171226465016,0.002446064699967234,0.10249659496484348,0.020511235678003715
UNC28,5.0,0.7937221387770028,0.7649644216888561,0.035764286135824726,0.03671877593828796,0.0187425038952137,0.11174437310274904,0.03456802639193373
UNC28,5.0,0.7025646897564939,0.6677825711066165,0.031181815533751225,0.02447259756239387,0.0227243210518054,0.09090752023451723,0.03887733887733888
UNC28,5.0,0.7538698072481137,0.7085507350087104,0.02615929633673568,0.01265991830688641,0.02587071140253296,0.04520883486658366,0.054898416508087175
UNC28,5.0,0.7785249597886029,0.7283938919120104,0.043286433477450766,0.024015976197905308,0.046723504190678215,0.06224473686926976,0.07789563587032455
UNC28,5.0,0.7572162515243537,0.7282732838310763,0.02090247542324602,0.02314864921333279,0.0030792109294592697,0.05392501287137708,0.03138979858301762
UNC28,5.0,0.7801912946455389,0.737874299188542,0.01695353528068186,0.004325994557801996,0.011396064461362723,0.029832029299467062,0.03164372532879914
UNC28,5.0,0.7603389706257808,0.7503051214675902,0.017374227315753926,0.006541446418543362,0.004355878687462471,0.046249335039056205,0.022746037592604483
UNC28,5.0,0.6209828612530337,0.619010846383236,0.022914148887679044,0.026281407307976217,0.008358319481761167,0.07782048238087738,0.020004408457479226
UNC28,5.0,0.7415049903808031,0.7016108157829152,0.05656237391109643,0.04083053824159004,0.05196072023043137,0.08610222564555613,0.07551975249679843
UNC28,5.0,0.7775778236961145,0.7336572801331935,0.03939388087493008,0.02448183008829171,0.030671568967040888,0.07664473684210528,0.05684640213001264
UNC28,5.0,0.7810934580825283,0.7370603989309927,0.025440506779134408,0.013556434259539387,0.0185946837592957,0.06989290422564864,0.05048598383559175
UNC28,5.0,0.7592232897390727,0.6964501636573622,0.030328071641311613,0.00784636932307191,0.03718938764269368,0.03671993870186798,0.05856083927318988
UNC28,5.0,0.7967766538485799,0.7619438282881286,0.04725110640196596,0.038085811168838336,0.037097750218714934,0.11803106818169495,0.08064154919310354
UNC28,10.0,0.6914194027124484,0.6506883810205812,0.03872256105888765,0.016376972410311944,0.03813789107688323,0.05194224468025035,0.056761002273249726
